Organization,Title,"Addressee (First Name, Last Name)","Additional Info (Addressee Job Title, Dept, Etc.)","Civic Address 1 (Apt/Suite #, Building #, Street Name)","Civic Address 2 (PO Box #/RR #, or GD (General Delivery) and STN ID)",Municipality,Province or Territory,Postal Code,Phone,Website
Wood Buffalo Community Foundation,,,,"c/o Redpoll Centre at Shell Place, 1 C.A. Knight Way",,Fort McMurray,AB,T9H 5C5,,www.wbcfoundation.ca
Airdrie and District Community Foundation,Mr.,Dale Rathgeber,,"1, 213 Main Street West",PO Box 10249,Airdrie,AB,T4B 0R6,403-948-5411,www.airdriefoundation.ca
Banff Canmore Community Foundation,Mr.,Rob Buffler,Executive Director,,214 Banff Avenue/Box 3100,Banff,AB,T1L 1C7,403-762-8549,www.banffcanmorecf.org
Battle River Community Foundation,Ms.,Dana Andreassen,Executive Director,,Box 1122,Camrose,AB,T4V 4E7,780-679-0449,www.brcf.ca
Community Foundation of Lethbridge And Southwestern Alberta,Ms.,Charleen Davidson,Executive Director,"1202 - 2 Avenue S, Unit 50",,Lethbridge,AB,T1J 0E3,403-328-5297,www.cflsa.ca
Community Foundation Of Northwestern Alberta,Ms.,Tracey Vavrek,Executive Director,"11330-106 Street, Suite 200",,Grande Prairie,AB,T8V 7X9,780-538-2820,www.buildingtomorrowtoday.com
Community Foundation of Southeastern Alberta,Mr.,Chris Christie,,"104, 430 - 6th Avenue S.E.",,Medicine Hat,AB,T1A 2S8,403-527-9038,www.cfsea.ca
Drayton Valley Community Foundation,Ms.,Charlene Jones,Executive Director,,Box 6836,Drayton Valley,AB,T7A 1S2,780-514-2200,www.dvcf.org
Edmonton Community Foundation,Mr.,Martin Garber-Conrad,President and CEO,9910 - 103rd Street NW,,Edmonton,AB,T5K 2V7,780-426-0015,www.ecfoundation.org
Red Deer & District Community Foundation,Ms.,Kristine Bugayong,CEO,"Suite 203, Mid City Plaza, 4805-48 Street",,Red Deer,AB,T4N 1S6,403-341-6911,www.rddcf.ca
St. Albert Community Foundation,Mr.,Dave Reidie,Executive Director,,P.O. Box 65068,St. Albert,AB,T8N 5Y3,780-458-8351,www.sacf.ca
The Calgary Foundation,Ms.,Eva Friesen,President and CEO,"700, 999 - 8th Street South West",,Calgary,AB,T2R 1J5,403-802-7700,www.thecalgaryfoundation.org
Abbotsford Community Foundation,Ms.,Wendy Neufeld,Executive Director,201-2890 Garden Street,,Abbotsford,BC,V2T 4W7,604-850-3755,www.abbotsfordcf.org
Alberni Valley Community Foundation,Mr.,Hugh Grist,Board Chair,"The Station, 3100 Kingsway Ave",,Port Alberni,BC,V9Y 3B1,250-724-4503,www.albernifoundation.ca
BC Interior Community Foundation,Mr.,Rob Miller,Executive Director,2-219 Victoria Street,Box 15,Kamloops,BC,V2C 5K3,250-434-6995,www.bcicf.ca
Bowen Island Community Foundation,Ms.,Lisa Wrinch,Administrator,432 Cardena Road,P.O. Box 18,Bowen Island,BC,V0N 1G0,778-835-6802,www.bowenfoundation.com
